1;Afghanistan;93
2;Albania;355
3;Algeria;21
4;American Samoa;684
5;Andorra;376
6;Angola;244
7;Anguilla;1264
8;Antigua and Barbuda;1268
9;Argentina;54
10;Armenia;374
11;Aruba;297
12;Ascension;247
13;Australia;61
14;Australian External Territories;672
15;Austria;43
16;Azerbaijan;994
17;Azores;351
18;Bahamas;1242
19;Bahrain;973
20;Bangladesh;880
21;Barbados;1246
22;Belarus;375
23;Belgium;32
24;Belize;501
25;Benin;229
26;Bermuda;1441
27;Bhutan;975
28;Bolivi;591
29;Bosnia and Herzegovina;387
30;Brazil;55
31;British Virgin Islands;1284
32;Brunei;673
33;Bulgaria;359
34;Burkina Faso;226
35;Burundi;257
36;Cambodia;855
